Background,Item,Description
Pirate,Trait,"I like a job well done, especially if I can convince someone else to do it."
Pirate,Ideal,Respect. The thing that keeps a ship together is mutual respect between captain and crew. (Good)
Pirate,Ideal,"Fairness. We all do the work, so we all share in the rewards. (Lawful)"
Pirate,Ideal,Freedom. The sea is freedom-the freedom to go anywhere and do anything. (Chaotic)
Pirate,Ideal,"Mastery. I'm a predator, and the other ships on the sea are my prey. (Evil)"
Pirate,Ideal,"People. I'm committed to my crewmates, not to ideals. (Neutral)"
Pirate,Ideal,"Aspiration. Someday, I'll own my own ship and chart my own destiny. (Any)"
Pirate,Bond,"I'm loyal to my captain first, everything else second."
Pirate,Bond,The ship is most important-crewmates and captains come and go.
Pirate,Bond,I'll always remember my first ship.
Pirate,Bond,"In a harbor town, I have a paramour whose eyes nearly stole me from the sea."
Pirate,Bond,"I was cheated out of my fair share of the profits, and I want to get my due."
Pirate,Bond,"Ruthless pirates murdered my captain and crewmates, plundered our ship, and left me to die. Vengeance will be mine."
Pirate,Flaw,"I follow orders, even if I think they're wrong."
Pirate,Flaw,I'll say anything to avoid having to do extra work.
Pirate,Flaw,"Once someone questions my courage, I never back down no matter how dangerous the situation."
Pirate,Flaw,"Once I start drinking, it's hard for me to stop."
Pirate,Flaw,I can't help but pocket loose coins and other trinkets I come across.
Pirate,Flaw,My pride will probably lead to my destruction.
Sage,Field of study,Alchemist
Sage,Field of study,Astronomer
Sage,Field of study,Discredited academic
Sage,Field of study,Librarian
Sage,Field of study,Professor
Sage,Field of study,Researcher
Sage,Field of study,Wizard's apprentice
Sage,Field of study,Scribe
Sage,Trait,I use polysyllabic words that convey the impression of great erudition.
Sage,Trait,I've read every book in the world's greatest libraries-or I like to boast that I have.
Sage,Trait,"I'm used to helping out those who aren't as smart as I am, and I patiently explain anything and everything to others."
Sage,Trait,There's nothing I like more than a good mystery.
Sage,Trait,I'm willing to listen to every side of an argument before I make my own judgment.
Sage,Trait,"I... speak... slowly... when talking... to idiots,... which... almost... everyone... is... compared... to me."
Sage,Trait,"I am horribly, horribly awkward in social situations."
Sage,Trait,I'm convinced that people are always trying to steal my secrets.
Sage,Ideal,Knowledge. The path to power and self-improvement is through knowledge. (Neutral)
Sage,Ideal,Beauty. What is beautiful points us beyond itself toward what is true. (Good)
Sage,Ideal,Logic. Emotions must not cloud our logical thinking. (Lawful)
Sage,Ideal,No Limits. Nothing should fetter the infinite possibility inherent in all existence. (Chaotic)
Sage,Ideal,Power. Knowledge is the path to power and domination. (Evil)
Sage,Ideal,Self-Improvement. The goal of a life of study is the betterment of oneself. (Any)
Sage,Bond,It is my duty to protect my students.
Sage,Bond,I have an ancient text that holds terrible secrets that must not fall into the wrong hands.
Sage,Bond,"I work to preserve a library, university, scriptorium, or monastery."
Sage,Bond,My life's work is a series of tomes related to a specific field of lore.
Sage,Bond,I've been searching my whole life for the answer to a certain question.
Sage,Bond,I sold my soul for knowledge. I hope to do great deeds and win it back.
Sage,Flaw,I am easily distracted by the promise of information.
Sage,Flaw,Most people scream and run when they see a demon. I stop and take notes on its anatomy.
Sage,Flaw,Unlocking an ancient mystery is worth the price of a civilization.
Sage,Flaw,I overlook obvious solutions in favor of complicated ones.
Sage,Flaw,"I speak without really thinking through my words, invariably insulting others."
Sage,Flaw,"I can't keep a secret to save my life, or anyone else's."
Sailor,Trait,"My friends know they can rely on me, no matter what."
Sailor,Trait,I work hard so that I can play hard when the work is done.
Sailor,Trait,I enjoy sailing into new ports and making new friends over a flagon of ale.
Sailor,Trait,I stretch the truth for the sake of a good story.
Sailor,Trait,"To me, a tavern brawl is a nice way to get to know a new city."
Sailor,Trait,I never pass up a friendly wager.
Sailor,Trait,My language is as foul as an otyugh nest.
Sailor,Trait,"I like a job well done, especially if I can convince someone else to do it."
Sailor,Ideal,Respect. The thing that keeps a ship together is mutual respect between captain and crew. (Good)
Sailor,Ideal,"Fairness. We all do the work, so we all share in the rewards. (Lawful)"
Sailor,Ideal,Freedom. The sea is freedom-the freedom to go anywhere and do anything. (Chaotic)
Sailor,Ideal,"Mastery. I'm a predator, and the other ships on the sea are my prey. (Evil)"
Sailor,Ideal,"People. I'm committed to my crewmates, not to ideals. (Neutral)"
Sailor,Ideal,"Aspiration. Someday, I'll own my own ship and chart my own destiny. (Any)"
Sailor,Bond,"I'm loyal to my captain first, everything else second."
Sailor,Bond,The ship is most important-crewmates and captains come and go.
Sailor,Bond,I'll always remember my first ship.
Sailor,Bond,"In a harbor town, I have a paramour whose eyes nearly stole me from the sea."
Sailor,Bond,"I was cheated out of my fair share of the profits, and I want to get my due."
Sailor,Bond,"Ruthless pirates murdered my captain and crewmates, plundered our ship, and left me to die. Vengeance will be mine."
Sailor,Flaw,"I follow orders, even if I think they're wrong."
Sailor,Flaw,I'll say anything to avoid having to do extra work.
Sailor,Flaw,"Once someone questions my courage, I never back down no matter how dangerous the situation."
Sailor,Flaw,"Once I start drinking, it's hard for me to stop."
Sailor,Flaw,I can't help but pocket loose coins and other trinkets I come across.
Sailor,Flaw,My pride will probably lead to my destruction.
Soldier,Role,Officer
Soldier,Role,Scout
Soldier,Role,Infantry
Soldier,Role,Cavalry
Soldier,Role,Healer
Soldier,Role,Quartermaster
Soldier,Role,Standard-bearer
Soldier,Role,"Support staff (cook, blacksmith, or the like)"
Soldier,Trait,I'm always polite and respectful.
Soldier,Trait,I'm haunted by memories of war. I can't get the images of violence out of my mind.
Soldier,Trait,"I've lost too many friends, and I'm slow to make new ones."
Soldier,Trait,I'm full of inspiring and cautionary tales from my military experience relevant to almost every combat situation.
Soldier,Trait,I can stare down a hell hound without flinching.
Soldier,Trait,I enjoy being strong and like breaking things.
Soldier,Trait,I have a crude sense of humor.
Soldier,Trait,"I face problems head-on. A simple, direct solution is the best path to success."
Soldier,Ideal,Greater Good. Our lot is to lay down our lives in defense of others. (Good)
Soldier,Ideal,Responsibility. I do what I must and obey just authority. (Lawful)
Soldier,Ideal,"Independence. When people follow orders blindly, they embrace a kind of tyranny. (Chaotic)"
Soldier,Ideal,"Might. In life as in war, the stronger force wins. (Evil)"
Soldier,Ideal,Live and Let Live. Ideals aren't worth killing over or going to war for. (Neutral)
Soldier,Ideal,"Nation. My city, nation, or people are all that matter. (Any)"
Soldier,Bond,I would still lay down my life for the people I served with.
Soldier,Bond,"Someone saved my life on the battlefield. To this day, I will never leave a friend behind."
Soldier,Bond,My honor is my life.
Soldier,Bond,I'll never forget the crushing defeat my company suffered or the enemies who dealt it.
Soldier,Bond,Those who fight beside me are those worth dying for.
Soldier,Bond,I fight for those who cannot fight for themselves.
Soldier,Flaw,The monstrous enemy we faced in battle still leaves me quivering with fear.
Soldier,Flaw,I have little respect for anyone who is not a proven warrior.
Soldier,Flaw,I made a terrible mistake in battle that cost many lives-and I would do anything to keep that mistake secret.
Soldier,Flaw,My hatred of my enemies is blinding and unreasoning.
Soldier,Flaw,"I obey the law, even if the law causes misery."
Soldier,Flaw,I'd rather eat my armor than admit when I'm wrong.
Spy,Specialty,Blackmailer
Spy,Specialty,Burglar
Spy,Specialty,Enforcer
Spy,Specialty,Fence
Spy,Specialty,Highway robber
Spy,Specialty,Hired killer
Spy,Specialty,Pickpocket
Spy,Specialty,Smuggler
Spy,Trait,I always have a plan for when things go wrong.
Spy,Trait,"I am always calm, no matter what the situation. I never raise my voice or let my emotions control me."
Spy,Trait,The first thing I do in a new place is note the locations of everything valuable-or where such things could be hidden.
Spy,Trait,I would rather make a new friend than a new enemy.
Spy,Trait,I am incredibly slow to trust. Those who seem the fairest often have the most to hide.
Spy,Trait,I don't pay attention to the risks in a situation. Never tell me the odds.
Spy,Trait,The best way to get me to do something is to tell me I can't do it.
Spy,Trait,I blow up at the slightest insult.
Spy,Ideal,Honor. I don't steal from others in the trade. (Lawful)
Spy,Ideal,"Freedom. Chains are meant to be broken, as are those who would forge them. (Chaotic)"
Spy,Ideal,Charity. I steal from the wealthy so that I can help people in need. (Good)
Spy,Ideal,Greed. I will do whatever it takes to become wealthy. (Evil)
Spy,Ideal,"People. I'm loyal to my friends, not to any ideals, and everyone else can take a trip down the Styx for all I care. (Neutral)"
Spy,Ideal,Redemption. There's a spark of good in everyone. (Good)
Spy,Bond,I'm trying to pay off an old debt I owe to a generous benefactor.
Spy,Bond,My ill-gotten gains go to support my family.
Spy,Bond,"Something important was taken from me, and I aim to steal it back."
Spy,Bond,I will become the greatest thief that ever lived.
Spy,Bond,I'm guilty of a terrible crime. I hope I can redeem myself for it.
Spy,Bond,Someone I loved died because of a mistake I made. That will never happen again.
Spy,Flaw,"When I see something valuable, I can't think about anything but how to steal it."
Spy,Flaw,"When faced with a choice between money and my friends, I usually choose the money."
Spy,Flaw,"If there's a plan, I'll forget it. If I don't forget it, I'll ignore it."
Spy,Flaw,I have a 'tell' that reveals when I'm lying.
Spy,Flaw,I turn tail and run when things look bad.
Spy,Flaw,An innocent person is in prison for a crime that I committed. I'm okay with that.
Urchin,Trait,I hide scraps of food and trinkets away in my pockets.
Urchin,Trait,I ask a lot of questions.
Urchin,Trait,I like to squeeze into small places where no one else can get to me.
Urchin,Trait,"I sleep with my back to a wall or tree, with everything I own wrapped in a bundle in my arms."
Urchin,Trait,I eat like a pig and have bad manners.
Urchin,Trait,I think anyone who's nice to me is hiding evil intent.
Urchin,Trait,I don't like to bathe.
Urchin,Trait,I bluntly say what others are hinting at or hiding.
Urchin,Ideal,"Respect. All people, rich or poor, deserve respect. (Good)"
Urchin,Ideal,"Community. We have to take care of each other, because no one else is going to do it. (Lawful)"
Urchin,Ideal,"Change. The low are lifted up, and the high and mighty are brought down. Change is the nature of things. (Chaotic)"
Urchin,Ideal,Retribution. The rich need to be shown what life and death are like in the gutters. (Evil)
Urchin,Ideal,People. I help the people who help me-that's what keeps us alive. (Neutral)
Urchin,Ideal,Aspiration. I'm going to prove that I'm worthy of a better life. (Any)
Urchin,Bond,"My town or city is my home, and I'll fight to defend it."
Urchin,Bond,I sponsor an orphanage to keep others from enduring what I was forced to endure.
Urchin,Bond,I owe my survival to another urchin who taught me to live on the streets.
Urchin,Bond,I owe a debt I can never repay to the person who took pity on me.
Urchin,Bond,"I escaped my life of poverty by robbing an important person, and I'm wanted for it."
Urchin,Bond,No one else should have to endure the hardships I've been through.
Urchin,Flaw,"If I'm outnumbered, I will run away from a fight."
Urchin,Flaw,"Gold seems like a lot of money to me, and I'll do just about anything for more of it."
Urchin,Flaw,I will never fully trust anyone other than myself.
Urchin,Flaw,I'd rather kill someone in their sleep than fight fair.
Urchin,Flaw,It's not stealing if I need it more than someone else.
Urchin,Flaw,People who can't take care of themselves get what they deserve.
